Accession,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,emPAI,emPAI%,Score A Sequest HT,# Peptides A Sequest HT
A0A346QVU4,ORF025 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,26.31578947,6,8,6,1,228,26.9,4.97,2.511,0.0004131185736,6.81,6
A0A0C5AUW2,p12 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,13.51351351,2,2,2,1,111,12.3,4.68,0.931,0.0001531714026,6.7,2
A0A0C5AUV9,Chit-2b OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,16.35220126,2,2,2,1,159,18.6,4.65,0.778,0.0001279993032,6.42,2
A0A0C5AS27,ORF043 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,41.58415842,2,2,2,1,101,11.4,9.25,0.931,0.0001531714026,6.39,2
A0A0C5ASE8,ORF076 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,15.24663677,3,5,3,1,223,26.5,7.74,0.54,0.00008884270399,6.01,3
A0A346QVW7,ORF048 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,9.6875,2,2,2,1,320,38.1,4.53,0.359,0.0000590639458,5.93,2
A0A0C5B378,Desmoplakin OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,10.51805338,5,5,5,1,637,73.9,6.21,0.278,0.0000457375402,5.26,5
A0A0C5ASG1,ORF096 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,13.50649351,4,4,4,1,385,45.2,5.49,0.624,0.0001026626802,4.5,4
A0A0C5AUW8,p18 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,27.21518987,3,3,3,1,158,18.1,5.02,1.154,0.0001898601489,3.62,3
A0A346QW11,ChaB OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,26.58227848,2,4,2,1,79,9.1,9.31,9,0.001480711733,2.6,2
A0A0C5AS52,Pif-4 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,22.92993631,4,5,4,1,157,17.8,5.92,1.512,0.0002487595712,2.28,4
A0A0C5AQB7,ORF140 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,29.50819672,2,2,2,1,61,6.9,9.32,2.162,0.000355699863,1.87,2
A0A0C5ASE2,38.7k OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,12,2,2,2,1,175,20.4,5.57,0.425,0.00006992249851,1.76,2
A0A0C5AS80,ORF123 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,9.90990991,3,3,3,1,333,40.5,7.61,0.35,0.00005758323407,0,3
A0A0C5ASJ4,ORF145 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,26.26262626,2,2,2,1,99,11.3,5.82,0.778,0.0001279993032,0,2
A0A0C5AQB4,Ac53 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,19.3877551,2,2,2,1,196,22.2,6.96,0.668,0.0001099017153,0,2
A0A346QW46,Dnahel-2 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,7.627118644,2,2,2,1,472,53.1,6.4,0.166,0.0000273109053,0,2
,,,,,,,,,,607815.809,100,,
