Accession,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Area: F1: Sample,emPAI,Score A Sequest HT,# Peptides A Sequest HT,# PSMs A Sequest HT
A0A0C5AUU2,Pif-2 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,7.894736842,2,3,2,1,380,44.1,5.47,27830605.38,0.259,0,2,3
A0A0C5AS18,ORF028 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,10,1,1,1,1,100,11,3.9,49467239.13,9,2.56,1,1
A0A0C5AUV4,ORF062 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,11.82795699,1,1,1,1,93,10.7,4.46,11305182.13,0.389,1.64,1,1
A0A0C5B347,p6.9 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,20.68965517,2,9,2,1,58,7.3,12.59,461224748.4,9,6.27,2,9
G3CKA7,Tubulin alpha chain OS=Spodoptera frugiperda PE=2 SV=1,2,1,1,1,1,450,49.9,5.19,16597849.88,0.101,1.83,1,1
A0A0C5AUX6,ORF102 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,9.42408377,2,2,2,1,191,22,8.29,19520459.31,0.585,0,2,2
A0A0C5AQ74,p24 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,9.090909091,1,1,1,1,176,19.3,5.01,8474870.375,0.292,0,1,1
A0A0C5B339,Pif-1 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,5.545286506,1,1,1,1,541,61.5,6.25,12913476.13,0.116,0,1,1
Q9GQG6,90-kDa heat shock protein HSP83 OS=Spodoptera frugiperda GN=hsp83 PE=2 SV=1,0.9762900976,1,1,1,1,717,82.5,5.07,2364788,0.056,0,1,1
A0A0C5ASH0,Pif-6 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,9.352517986,1,1,1,1,139,16.3,5.87,4826388.5,0.389,0,1,1
Q9QSK2,DNA polymerase 037L OS=Invertebrate iridescent virus 6 GN=DPOL PE=3 SV=1,2.042419482,1,2,1,1,1273,147.6,8.73,801404944.5,0.056,0,1,2
A0A0C5AS52,Pif-4 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,5.095541401,1,1,1,1,157,17.8,5.92,10279367.31,0.259,0,1,1
Q0E525,31.0 kDa OS=Spodoptera frugiperda ascovirus 1a GN=ORF076 PE=4 SV=1,2.631578947,1,2,1,1,266,31,6.54,289440592.2,0.129,0,1,2
A0A0C5AQ93,Vlf-1 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,6.52173913,1,1,1,1,368,42.7,8.62,12522971.25,0.105,0,1,1
A0A0C5ASE5,Chit-2a OS=Spodoptera frugiperda granulovirus PE=4 SV=1,3.703703704,1,1,1,1,162,18.5,4.96,25033877.2,0.259,0,1,1
Q962R3,Ribosomal protein S15A OS=Spodoptera frugiperda PE=2 SV=1,6.201550388,1,1,1,1,129,14.7,9.94,3015046.906,0.233,0,1,1
A0A0C5ASD5,ORF056 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,8.056872038,1,2,1,1,422,48.1,6.62,,0.086,0,1,2
A0A0C5ASH3,Fp OS=Spodoptera frugiperda granulovirus PE=4 SV=1,4.117647059,1,1,1,1,170,19.6,9.47,7211136.242,0.194,0,1,1
Q962S0,40S ribosomal protein S7 OS=Spodoptera frugiperda GN=RpS7 PE=2 SV=1,5.263157895,1,1,1,1,190,21.9,9.82,5661696.031,0.233,0,1,1
